author,title
མར་པ་ཆོས་ཀྱི་བློ་གྲོས།,སྙན་རྒྱུད་རྡོ་རྗེའི་ཚིག་རྐང་།
ཀརྨ་ཆགས་མེད་རཱ་ག་ཨ་སྱ།,རིམ་ལྔའི་དམར་ཁྲིད་གསང་བ་ཡི་གེ་མེད་པའི་ངོ་སྤྲོ་ཡུ་མོ་ཁུགས།
སི་ཏུ་པདྨ་ཉིན་བྱེད་དབང་པོ།,ཆོས་དྲུག་བདུད་རྩི་ཉིང་ཁུའི་སྔོན་འགྲོ་དངོས་གྲུབ་མྱུར་སྩོལ།
ཤཱཀྱའི་དགེ་སློང་གྲགས་པ་སྨོན་ལམ་བློ་གྲོས།(ནེའུ་པཎྚི་ཏ།) & ནེའུ་པཎྜི་ཏ་གྲགས་པ་སྨོན་ལམ་བློ་གྲོས།,སྔོན་གྱི་གཏམ་མེ་ཏོག་གི་ཕྲེང་བ་ཞེས་བྱ་བ།
རྒྱལ་མཚན་དཔལ་བཟང༌།,ཐུགས་རྗེ་ཆེན་པོ་དམར་ཁྲིད་སྐུ་གསུམ་གྱི་ཁྲིད་ཡིག
,ཟབ་ལམ་བདེ་གཤེགས་ཀུན་འདུས་ཀྱི་ཁྲིད་ཡིག་ཟིན་བྲིས་སུ་བྱས་པ་སྒོམས་དོན་གསལ་བའི་མེ་ལོང་ལས་སྔོན་འགྲོའི་ཁྲིད་ཡིག།
རྒྱལ་མཚན་དཔལ་བཟང༌།,ཐུགས་རྗེ་ཆེན་པོ་དམར་ཁྲིད་སྐུ་གསུམ་གྱི་སྒྲུབ་ཐབས་ཀྱི་ལོ་རྒྱུས།
རྒྱལ་མཚན་དཔལ་བཟང་།,ཐུགས་རྗེ་ཆེན་པོ་དམར་ཁྲིད་སྐུ་གསུམ་གྱི་སྔོན་འགྲོ།
རྒྱལ་མཚན་དཔལ་བཟང༌།,ཐུགས་རྗེ་ཆེན་པོ་དམར་ཁྲིད་སྐུ་གསུམ་གྱི་ཞལ་ཤེས་ཀྱི་གདམས་པ།
